"UniqueCellID","Group","Poon_et_al_2022_nat_immunol_Human_Lung_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_Skin_CD4_TRM","Poon_et_al_2022_nat_immunol_Human_jejunum_CD4_TRM","Zhang_2022_Gut_Human_Liver_HBV_infiltrating_CD4","Zheng_2017_Cell_Human_HCC_infiltrating_CD4","Argyriou_2022_Nat_Comm_Human_Synovial_tissues_TPH","Law_et_al_2024_Nature_Human_Synovial_tissues_TPH"
"huDistalExp1_plate5_BC26","huDistalExp1_plate5_BC26","Auto-reactivity",-0.111861764867743,-0.0715373698862289,-0.117008881116261,0.305798929233617,0.266980354597794,0.277055347732682,0.247404224617256
"huDistalExp1_plate5_BC34","huDistalExp1_plate5_BC34","Auto-reactivity",-0.183423330624459,0.273360007553452,-0.148596963962919,0.314163506413775,0.41181378057839,0.0852454007885697,0.220996201453328
"huDistalExp1_plate5_BC29","huDistalExp1_plate5_BC29","Auto-reactivity",0.310475477804989,0.348898520159037,0.354495572365891,0.514470568775879,0.308075957603093,0.204008490518472,0.291371006243874
"huDistalExp1_plate5_BC67","huDistalExp1_plate5_BC67","Auto-reactivity",0.372128546375577,0.315526803853165,0.0525296515269735,0.591504039031286,0.252275856035835,0.218732430816491,0.347973136635054
"huDistalExp1_plate6_BC4","huDistalExp1_plate6_BC4","H1N1",0.190806161049269,0.29596417640568,0.158485033210881,0.125921415816957,0.129638682482722,-0.0912502306858992,0.072813450931724
"huDistalExp1_plate6_BC16","huDistalExp1_plate6_BC16","H1N1",0.0489491251937477,0.283780734614433,-0.0308502376534017,-0.164364768138344,0.0682016779281165,-0.038958313433615,-0.0463887782496765
"huDistalExp1_plate6_BC50","huDistalExp1_plate6_BC50","H1N1",-0.0292952524794154,0.0153988711304252,-0.19499673209706,0.231337598565081,0.0875021375370979,-0.00424250250265257,0.0864852275417878
"huDistalExp1_plate6_BC12","huDistalExp1_plate6_BC12","H1N1",0.27363976234924,0.0726297393615774,0.120226061014309,0.103187450822684,0.19750966042234,0.0545516099308523,0.141898642937809
"huDistalExp1_plate6_BC58","huDistalExp1_plate6_BC58","H1N1",0.100679617245033,0.288554836451984,-0.0275081405628462,0.191275334069775,0.128273063281599,-0.0100031451048245,0.0490599999325516
"huDistalExp1_plate6_BC37","huDistalExp1_plate6_BC37","H1N1",0.0264297019026042,-0.0482825535190488,0.0637009140976612,0.045047705586212,0.00234692279297055,-0.140459386531287,-0.0907114179682662
"huDistalExp1_plate6_BC62","huDistalExp1_plate6_BC62","H1N1",0.0731088742915925,0.128219084182964,-0.0935645648325244,0.113567368137289,0.0223070292339486,-0.189786439144312,-0.0786230867866612
"huDistalExp1_plate6_BC56","huDistalExp1_plate6_BC56","H1N1",0.0134438383512613,-0.0283124026520791,-0.0408090557344922,0.0631061982027012,-0.0343220250240145,-0.257088343077261,-0.135177273142573
"huDistalExp1_plate6_BC2","huDistalExp1_plate6_BC2","H1N1",0.0592663047113866,0.250237526020235,0.0848063324691938,0.269881438513895,0.244921307450229,-0.0595275461093288,-0.00907359787667417
"huDistalExp1_plate6_BC57","huDistalExp1_plate6_BC57","H1N1",-0.0921780914045025,0.0949741848914855,-0.0528692514856345,0.185500034497477,0.0378923416367802,0.0360159466615836,-0.0420987743812974
"huDistalExp1_plate6_BC20","huDistalExp1_plate6_BC20","H1N1",0.061914104744703,0.225412762004708,-0.00951703471587606,-0.178126228211068,-0.0280630349225307,-0.11751137510208,0.0908412755470844
"huDistalExp1_plate6_BC66","huDistalExp1_plate6_BC66","H1N1",0.0808422347821943,0.173432963599527,-0.0934265593842975,0.0353467937402012,0.123646875061516,0.0337495311572572,0.0126528956917322
"huDistalExp1_plate6_BC65","huDistalExp1_plate6_BC65","H1N1",-0.0183997366771935,0.0752051415906232,-0.0562440670866265,0.00610134319322686,-0.139425910946603,-0.15971147577612,-0.131642095800223
"huDistalExp1_plate6_BC42","huDistalExp1_plate6_BC42","H1N1",0.264344104390998,0.0749137549673214,0.137777538730503,0.0656578400295642,0.0684477508808432,0.0439400728963418,0.0292704265127623
"huDistalExp1_plate6_BC31","huDistalExp1_plate6_BC31","H1N1",0.0379229463055332,0.275057749746754,0.0142327578167357,0.199448209744991,0.179579968245119,-0.0883795139218452,0.0474336680499413
"huDistalExp1_plate6_BC46","huDistalExp1_plate6_BC46","H1N1",0.317093557867608,0.1706407647739,0.20207509309887,0.215408586157967,0.189922684214358,0.206816348184976,0.306409441285434
"huDistalExp1_plate6_BC7","huDistalExp1_plate6_BC7","H1N1",0.0540530708499559,0.289797655213909,0.0580940697812257,-0.0455184242426556,-0.104325530884322,-0.188317886768166,0.0476276463375781
"huDistalExp1_plate6_BC35","huDistalExp1_plate6_BC35","H1N1",0.176289377899598,0.136878568620813,0.0401316133850296,-0.109588295823964,0.12739360124395,0.0190420305543259,0.0910039266486652
"huDistalExp1_plate6_BC44","huDistalExp1_plate6_BC44","H1N1",0.441430952634176,0.398168227271767,0.124622641351663,0.104236025081552,0.14170728438234,0.183586548521283,0.182246828096313
